"국가(대륙)별","상품군별","판매유형별",2021.4/4,2022.1/4 p)
"유럽연합(EU)","농축수산물","계",0,0
"유럽연합(EU)","농축수산물","면세점",0,0
"유럽연합(EU)","농축수산물","면세점 이외",0,0
"유럽연합(EU)","생활용품 및 자동차용품","계",198,11
"유럽연합(EU)","생활용품 및 자동차용품","면세점",0,0
"유럽연합(EU)","생활용품 및 자동차용품","면세점 이외",198,11
"유럽연합(EU)","기 타","계",361,48
"유럽연합(EU)","기 타","면세점",0,0
"유럽연합(EU)","기 타","면세점 이외",361,48
"중동","합계","계",1051,548
"중동","합계","면세점",0,0
"중동","합계","면세점 이외",1051,548
"중동","컴퓨터 및 주변기기","계",24,1
"중동","컴퓨터 및 주변기기","면세점",0,0
"중동","컴퓨터 및 주변기기","면세점 이외",24,1
"중동","가전·전자·통신기기","계",54,0
"중동","가전·전자·통신기기","면세점",0,0
"중동","가전·전자·통신기기","면세점 이외",54,0
"중동","소프트웨어","계",0,0
"중동","소프트웨어","면세점",0,0
"중동","소프트웨어","면세점 이외",0,0
"중동","서 적","계",45,34
"중동","서 적","면세점",0,0
"중동","서 적","면세점 이외",45,34
"중동","사무·문구","계",0,2
"중동","사무·문구","면세점",0,0
"중동","사무·문구","면세점 이외",0,2
"중동","음반·비디오·악기","계",311,211
"중동","음반·비디오·악기","면세점",0,0
"중동","음반·비디오·악기","면세점 이외",311,211
"중동","의류 및 패션 관련상품","계",273,183
"중동","의류 및 패션 관련상품","면세점",0,0
"중동","의류 및 패션 관련상품","면세점 이외",273,183
"중동","스포츠·레저용품","계",16,2
"중동","스포츠·레저용품","면세점",0,0
"중동","스포츠·레저용품","면세점 이외",16,2
"중동","화장품","계",216,91
"중동","화장품","면세점",0,0
"중동","화장품","면세점 이외",216,91
"중동","아동·유아용품","계",9,1
"중동","아동·유아용품","면세점",0,0
"중동","아동·유아용품","면세점 이외",9,1
"중동","음·식료품","계",0,1
"중동","음·식료품","면세점",0,0
"중동","음·식료품","면세점 이외",0,1
"중동","농축수산물","계",0,0
"중동","농축수산물","면세점",0,0
"중동","농축수산물","면세점 이외",0,0
"중동","생활용품 및 자동차용품","계",60,4
"중동","생활용품 및 자동차용품","면세점",0,0
"중동","생활용품 및 자동차용품","면세점 이외",60,4
"중동","기 타","계",43,18
"중동","기 타","면세점",0,0
"중동","기 타","면세점 이외",43,18
"중남미","합계","계",1458,735
"중남미","합계","면세점",0,0
"중남미","합계","면세점 이외",1458,735
"중남미","컴퓨터 및 주변기기","계",23,0
"중남미","컴퓨터 및 주변기기","면세점",0,0
"중남미","컴퓨터 및 주변기기","면세점 이외",23,0
"중남미","가전·전자·통신기기","계",63,0
"중남미","가전·전자·통신기기","면세점",0,0
"중남미","가전·전자·통신기기","면세점 이외",63,0
"중남미","소프트웨어","계",1,0
"중남미","소프트웨어","면세점",0,0
"중남미","소프트웨어","면세점 이외",1,0
"중남미","서 적","계",130,84
"중남미","서 적","면세점",0,0
"중남미","서 적","면세점 이외",130,84
"중남미","사무·문구","계",9,2
"중남미","사무·문구","면세점",0,0
"중남미","사무·문구","면세점 이외",9,2
"중남미","음반·비디오·악기","계",855,539
"중남미","음반·비디오·악기","면세점",0,0
"중남미","음반·비디오·악기","면세점 이외",855,539
"중남미","의류 및 패션 관련상품","계",95,47
"중남미","의류 및 패션 관련상품","면세점",0,0
"중남미","의류 및 패션 관련상품","면세점 이외",95,47
"중남미","스포츠·레저용품","계",17,0
"중남미","스포츠·레저용품","면세점",0,0
"중남미","스포츠·레저용품","면세점 이외",17,0
"중남미","화장품","계",77,46
"중남미","화장품","면세점",0,0
"중남미","화장품","면세점 이외",77,46
"중남미","아동·유아용품","계",10,1
"중남미","아동·유아용품","면세점",0,0
"중남미","아동·유아용품","면세점 이외",10,1
"중남미","음·식료품","계",3,1
"중남미","음·식료품","면세점",0,0
"중남미","음·식료품","면세점 이외",3,1
"중남미","농축수산물","계",0,0
"중남미","농축수산물","면세점",0,0
"중남미","농축수산물","면세점 이외",0,0
"중남미","생활용품 및 자동차용품","계",112,2
"중남미","생활용품 및 자동차용품","면세점",0,0
"중남미","생활용품 및 자동차용품","면세점 이외",112,2
"중남미","기 타","계",63,13
"중남미","기 타","면세점",0,0
"중남미","기 타","면세점 이외",63,13
"대양주","합계","계",3359,2651
"대양주","합계","면세점",0,0
"대양주","합계","면세점 이외",3359,2651
"대양주","컴퓨터 및 주변기기","계",30,7
"대양주","컴퓨터 및 주변기기","면세점",0,0
"대양주","컴퓨터 및 주변기기","면세점 이외",30,7
"대양주","가전·전자·통신기기","계",292,10
"대양주","가전·전자·통신기기","면세점",0,0
"대양주","가전·전자·통신기기","면세점 이외",292,10
"대양주","소프트웨어","계",2,0
"대양주","소프트웨어","면세점",0,0
"대양주","소프트웨어","면세점 이외",2,0
"대양주","서 적","계",129,98
"대양주","서 적","면세점",0,0
"대양주","서 적","면세점 이외",129,98
"대양주","사무·문구","계",28,15
"대양주","사무·문구","면세점",0,0
"대양주","사무·문구","면세점 이외",28,15
"대양주","음반·비디오·악기","계",396,219
"대양주","음반·비디오·악기","면세점",0,0
"대양주","음반·비디오·악기","면세점 이외",396,219
"대양주","의류 및 패션 관련상품","계",1675,1581
"대양주","의류 및 패션 관련상품","면세점",0,0
"대양주","의류 및 패션 관련상품","면세점 이외",1675,1581
"대양주","스포츠·레저용품","계",270,201
"대양주","스포츠·레저용품","면세점",0,0
"대양주","스포츠·레저용품","면세점 이외",270,201
"대양주","화장품","계",239,118
"대양주","화장품","면세점",0,0
"대양주","화장품","면세점 이외",239,118
"대양주","아동·유아용품","계",55,29
"대양주","아동·유아용품","면세점",0,0
"대양주","아동·유아용품","면세점 이외",55,29
"대양주","음·식료품","계",6,0
"대양주","음·식료품","면세점",0,0
"대양주","음·식료품","면세점 이외",6,0
"대양주","농축수산물","계",1,0
"대양주","농축수산물","면세점",0,0
"대양주","농축수산물","면세점 이외",1,0
"대양주","생활용품 및 자동차용품","계",115,31
"대양주","생활용품 및 자동차용품","면세점",0,0
"대양주","생활용품 및 자동차용품","면세점 이외",115,31
"대양주","기 타","계",121,342
"대양주","기 타","면세점",0,0
"대양주","기 타","면세점 이외",121,342
"기타","합계","계",15429,12646
"기타","합계","면세점",3089,1131
"기타","합계","면세점 이외",12340,11515
